No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
1,AALI,PT Astra Agro Lestari Tbk.,General,Agriculture,Plantation
2,ABBA,PT Mahaka Media Tbk.,General,"Trade, Services & Investment","Advertising, Printing And Media"
3,ABDA,PT Asuransi Bina Dana Arta Tbk.,Insurance,Finance,Insurance
4,ABMM,PT ABM Investama Tbk.,General,"Trade, Services & Investment",Investment Company
5,ACES,PT Ace Hardware Indonesia Tbk.,General,"Trade, Services & Investment",Retail Trade
6,ACST,PT Acset Indonusa Tbk.,Property,"Property, Real Estate And Building Construction",Building Construction
7,ADES,PT Akasha Wira International Tbk.,General,Consumer Goods Industry,Food And Beverages
8,ADHI,PT Adhi Karya (Persero) Tbk.,Property,"Property, Real Estate And Building Construction",Building Construction
9,ADMF,PT Adira Dinamika Multi Finance Tbk.,Financing,Finance,Financial Institution
10,ADMG,PT Polychem Indonesia Tbk.,General,Basic Industry And Chemicals,Chemicals
11,ADRO,PT Adaro Energy Tbk.,General,Mining,Coal Mining
12,AGAR,PT Asia Sejahtera Mina Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
13,AGII,PT Aneka Gas Industri Tbk.,General,Basic Industry And Chemicals,Chemicals
14,AGRO,PT Bank Rakyat Indonesia Agroniaga,Financial and Sharia,Finance,Bank
"",,Tbk.,,,
15,AGRS,PT Bank IBK Indonesia Tbk.,Financial and Sharia,Finance,Bank
16,AHAP,PT Asuransi Harta Aman Pratama Tbk.,Insurance,Finance,Insurance
17,AIMS,PT Akbar Indo Makmur Stimec Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
18,AISA,PT Tiga Pilar Sejahtera Food Tbk.,General,Consumer Goods Industry,Food And Beverages
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
19,AKKU,PT Anugerah Kagum Karya Utama,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
"",,Tbk.,,,
20,AKPI,PT Argha Karya Prima Industry Tbk.,General,Basic Industry And Chemicals,Plastics & Packaging
21,AKRA,PT AKR Corporindo Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
22,AKSI,PT Maming Enam Sembilan Mineral,General,"Infrastructure, Utilities  And Transportation",Transportation
"",,Tbk.,,,
23,ALDO,PT Alkindo Naratama Tbk.,General,Basic Industry And Chemicals,Pulp & Paper
24,ALKA,PT Alakasa Industrindo Tbk.,General,Basic Industry And Chemicals,Metal And Allied Products
25,ALMI,PT Alumindo Light Metal Industry,General,Basic Industry And Chemicals,Metal And Allied Products
"",,Tbk.,,,
26,ALTO,PT Tri Banyan Tirta Tbk.,General,Consumer Goods Industry,Food And Beverages
27,AMAG,PT Asuransi Multi Artha Guna Tbk.,Insurance,Finance,Insurance
28,AMAR,PT Bank Amar Indonesia Tbk.,Financial and Sharia,Finance,Bank
29,AMFG,PT Asahimas Flat Glass Tbk.,General,Basic Industry And Chemicals,"Ceramics, Glass, Porcelain"
30,AMIN,PT Ateliers Mecaniques D’Indonesie,Infrastruktur /,Miscellaneous Industry,Machinery And Heavy Equipment
"",,Tbk.,Infrastructure,,
31,AMOR,PT Ashmore Asset Management,General,Finance,Securities Company
"",,Indonesia Tbk.,,,
32,AMRT,PT Sumber Alfaria Trijaya Tbk.,General,"Trade, Services & Investment",Retail Trade
33,ANDI,PT Andira Agro Tbk.,General,Agriculture,Plantation
34,ANJT,PT Austindo Nusantara Jaya Tbk.,General,Agriculture,Plantation
35,ANTM,PT Aneka Tambang Tbk.,General,Mining,Metal And Mineral Mining
36,APAI,PT Angkasa Pura I (Persero),Infrastruktur /,"Infrastructure, Utilities  And Transportation","Toll Road, Airport, Harbor And Allied Products"
"",,,Infrastructure,,
37,APEX,PT Apexindo Pratama Duta Tbk.,General,Mining,Crude Petroleum & Natural Gas Production
38,APIA,PT Angkasa Pura II (Persero),Infrastruktur /,"Infrastructure, Utilities  And Transportation","Toll Road, Airport, Harbor And Allied Products"
"",,,Infrastructure,,
39,APIC,PT Pacific Strategic Financial Tbk.,General,Finance,Others
40,APII,PT Arita Prima Indonesia Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
41,APLI,PT Asiaplast Industries Tbk.,General,Basic Industry And Chemicals,Plastics & Packaging
42,APLN,PT Agung Podomoro Land Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
43,APOL,PT Arpeni Pratama Ocean Line Tbk.,General,"Infrastructure, Utilities  And Transportation",Transportation
44,ARGO,PT Argo Pantes Tbk.,General,Miscellaneous Industry,"Textile, Garment"
45,ARII,PT Atlas Resources Tbk.,General,Mining,Coal Mining
46,ARKA,PT Arkha Jayanti Persada Tbk.,General,Miscellaneous Industry,Machinery And Heavy Equipment
47,ARMY,PT Armidian Karyatama Tbk.,General,"Property, Real Estate And Building Construction",Property And Real Estate
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
48,ARNA,PT Arwana Citramulia Tbk.,General,Basic Industry And Chemicals,"Ceramics, Glass, Porcelain"
49,ARTA,PT Arthavest Tbk.,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
50,ARTI,PT Ratu Prabu Energi Tbk.,General,Mining,Crude Petroleum & Natural Gas Production
51,ARTO,PT Bank Artos Indonesia Tbk.,Financial and Sharia,Finance,Bank
52,ASBI,PT Asuransi Bintang Tbk.,Insurance,Finance,Insurance
53,ASDF,PT Astra Sedaya Finance,Financing,Finance,Financial Institution
54,ASDM,PT Asuransi Dayin Mitra Tbk.,Insurance,Finance,Insurance
55,ASGR,PT Astra Graphia Tbk.,General,"Trade, Services & Investment",Computer And Services
56,ASII,PT Astra International Tbk.,General,Miscellaneous Industry,Automotive And Components
57,ASJT,PT Asuransi Jasa Tania Tbk.,Insurance,Finance,Insurance
58,ASMI,PT Asuransi Kresna Mitra Tbk.,Insurance,Finance,Insurance
59,ASPI,PT Andalan Sakti Primaindo Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
60,ASRI,PT Alam Sutera Realty Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
61,ASRM,PT Asuransi Ramayana Tbk.,Insurance,Finance,Insurance
62,ASSA,PT Adi Sarana Armada Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Transportation
"",,,Infrastructure,,
63,ATIC,PT Anabatic Technologies Tbk.,General,"Trade, Services & Investment",Computer And Services
64,AUTO,PT Astra Otoparts Tbk.,General,Miscellaneous Industry,Automotive And Components
65,AYLS,PT Agro Yasa Lestari Tbk.,General,"Trade, Services & Investment",Wholesale (Durable & Non-Durable Goods)
66,BABP,PT Bank MNC Internasional Tbk.,Financial and Sharia,Finance,Bank
67,BACA,PT Bank Capital Indonesia Tbk.,Financial and Sharia,Finance,Bank
68,BAFI,PT Bussan Auto Finance Tbk.,Financing,Finance,Financial Institution
69,BAJA,PT Saranacentral Bajatama Tbk.,General,Basic Industry And Chemicals,Metal And Allied Products
70,BALI,PT Bali Towerindo Sentra Tbk.,Infrastruktur /,"Infrastructure, Utilities  And Transportation",Non Building Construction
"",,,Infrastructure,,
71,BAPA,PT Bekasi Asri Pemula  Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
72,BAPI,PT Bhakti Agung Propertindo Tbk.,Property,"Property, Real Estate And Building Construction",Property And Real Estate
73,BATA,PT Sepatu Bata Tbk.,General,Miscellaneous Industry,Footwear
74,BAYU,PT Bayu Buana Tbk.,General,"Trade, Services & Investment","Tourism, Restaurant And  Hotel"
75,BBCA,PT Bank Central Asia Tbk.,Financial and Sharia,Finance,Bank
76,BBHI,PT Bank Harda International Tbk.,Financial and Sharia,Finance,Bank
77,BBIA,PT Bank UOB Indonesia,Financial and Sharia,Finance,Bank
78,BBKE,PT Bank Kesejahteraan Ekonomi,Financing,Finance,Bank
79,BBKP,PT Bank Bukopin Tbk.,Financial and Sharia,Finance,Bank
80,BBLD,PT Buana Finance Tbk.,Financing,Finance,Financial Institution
No,Kode,Nama Perusahaan,Entry Point,Sektor,Subsektor
81,BBMD,PT Bank Mestika Dharma Tbk.,Financial and Sharia,Finance,Bank
