"country","povertyRate","pop2020"
"Turkmenistan","0.2000","6031.2000"
"China","0.6000","1439323.7760"
"Ukraine","1.3000","43733.7620"
"Kazakhstan","2.5000","18776.7070"
"Sri Lanka","4.1000","21413.2490"
"Morocco","4.8000","36910.5600"
"Algeria","5.5000","43851.0440"
"Malaysia","5.6000","32365.9990"
"Belarus","5.6000","9449.3230"
"Azerbaijan","6","10139.1770"
"Vietnam","6.7000","97338.5790"
"Bhutan","8.2000","771.6080"
"Maldives","8.2000","540.5440"
"Chile","8.6000","19116.2010"
"Uruguay","8.8000","3473.7300"
"Indonesia","9.8000","273523.6150"
"Thailand","9.9000","69799.9780"
"Czech Republic","10.1000","10708.9810"
"Iceland","10.1000","341.2430"
"Mauritius","10.3000","1271.7680"
"Iran","10.9000","83992.9490"
"Finland","11.6000","5540.7200"
"Slovenia","12","2078.9380"
"Canada","12.1000","37742.1540"
"Slovakia","12.2000","5459.6420"
"Hungary","12.3000","9660.3510"
"Australia","12.4000","25499.8840"
"Denmark","12.5000","5792.2020"
"Saudi Arabia","12.7000","34813.8710"
"Solomon Islands","12.7000","686.8840"
"Vanuatu","12.7000","307.1450"
"Russia","12.9000","145934.4620"
"Norway","12.9000","5421.2410"
"Netherlands","13.2000","17134.8720"
"Austria","13.3000","9006.3980"
"France","13.4000","65273.5110"
"Uzbekistan","14.1000","33469.2030"
"Albania","14.3000","2877.7970"
"Turkey","14.4000","84339.0670"
"Switzerland","14.6000","8654.6220"
"Cyprus","14.7000","1207.3590"
"Ireland","14.9000","4937.7860"
"Tunisia","15.2000","11818.6190"
"Poland","15.4000","37846.6110"
"Japan","15.7000","126476.4610"
"Jordan","15.7000","10203.1340"
"Germany","16","83783.9420"
"Belgium","16.4000","11589.6230"
"Israel","16.9000","8655.5350"
"Bosnia and Herzegovina","16.9000","3280.8190"
"Sweden","17.1000","10099.2650"
"Malta","17.1000","441.5430"
"Portugal","17.2000","10196.7090"
"South Korea","17.4000","51269.1850"
"Namibia","17.4000","2540.9050"
"Cambodia","17.7000","16718.9650"
"United States","17.8000","331002.6510"
"Greece","17.9000","10423.0540"
"Laos","18.3000","7275.5600"
"Croatia","18.3000","4105.2670"
"Luxembourg","18.3000","625.9780"
"United Kingdom","18.6000","67886.0110"
"Iraq","18.9000","40222.4930"
"Botswana","19.3000","2351.6270"
"Georgia","19.5000","3989.1670"
"Brazil","19.9000","212559.4170"
"Jamaica","19.9000","2961.1670"
"Peru","20.2000","32971.8540"
"Italy","20.3000","60461.8260"
"Samoa","20.3000","198.4140"
"Hong Kong","20.4000","7496.9810"
"Lithuania","20.6000","2722.2890"
"Spain","20.7000","46754.7780"
"Dominican Republic","21","10847.9100"
"Costa Rica","21","5094.1180"
"Djibouti","21.1000","988"
"Uganda","21.4000","45741.0070"
"Philippines","21.6000","109581.0780"
"Estonia","21.7000","1326.5350"
