,symbol,longName,shortName,sector,industry,previousClose,sharesOutstanding,marketCap
0,AALI.JK,PT Astra Agro Lestari Tbk,Astra Agro Lestari Tbk.,Consumer Defensive,Farm Products,10300,1924690048,19439370108928
1,ABBA.JK,PT Mahaka Media Tbk,Mahaka Media Tbk.,Communication Services,Publishing,224,2755120128,622657142784
2,ABDA.JK,PT Asuransi Bina Dana Arta Tbk,Asuransi Bina Dana Arta Tbk.,Financial Services,Insurance—Property & Casualty,7050,35373600,4376689115136
3,ABMM.JK,PT ABM Investama Tbk,ABM Investama Tbk.,Energy,Thermal Coal,780,2753169920,2175004180480
4,ACES.JK,PT Ace Hardware Indonesia Tbk,Ace Hardware Indonesia Tbk.,Consumer Cyclical,Specialty Retail,1565,17087599616,25973152022528
5,ACST.JK,PT Acset Indonusa Tbk,Acset Indonusa Tbk.,Industrials,Engineering & Construction,306,6425160192,1966099005440
6,ADES.JK,PT Akasha Wira International Tbk,Akasha Wira International Tbk.,Consumer Defensive,Beverages—Non-Alcoholic,1700,589897024,1002824925184
7,ADHI.JK,PT Adhi Karya (Persero) Tbk,Adhi Karya (Persero) Tbk.,Industrials,Engineering & Construction,1050,3560849920,3810109423616
8,ADMF.JK,PT Adira Dinamika Multi Finance Tbk,Adira Dinamika Multi Finance Tb,Financial Services,Credit Services,8325,1000000000,8349999955968
9,ADMG.JK,PT. Polychem Indonesia Tbk,Polychem Indonesia Tbk,Basic Materials,Specialty Chemicals,171,3889179904,696163172352
10,ADRO.JK,PT Adaro Energy Tbk,Adaro Energy Tbk.,Energy,Thermal Coal,1220,31985999872,38862990606336
11,AGAR.JK,PT Asia Sejahtera Mina Tbk,Asia Sejahtera Mina Tbk.,Consumer Defensive,Farm Products,362,1000000000,363999985664
12,AGII.JK,PT Aneka Gas Industri Tbk,Aneka Gas Industri Tbk.,Basic Materials,Chemicals,1020,3043660032,3195843117056
13,AGRO.JK,PT Bank Rakyat Indonesia Agroniaga Tbk,Bank Rakyat Indonesia Agroniaga,Financial Services,Banks—Regional,1040,21343299584,22410464067584
14,AGRS.JK,PT Bank IBK Indonesia Tbk,Bank IBK Indonesia Tbk.,Financial Services,Banks—Regional,338,11205799936,4190969266176
15,AHAP.JK,PT Asuransi Harta Aman Pratama Tbk,Asuransi Harta Aman Pratama Tbk,Financial Services,Insurance—Property & Casualty,72,2940000000,217560006656
16,AIMS.JK,PT Akbar Indo Makmur Stimec Tbk,Akbar Indo Makmur Stimec Tbk,Energy,Thermal Coal,266,220000000,58519998464
17,AISA.JK,PT FKS Food Sejahtera Tbk,FKS Food Sejahtera Tbk.,Consumer Defensive,Packaged Foods,302,135000000,610775990272
18,AKKU.JK,PT Anugerah Kagum Karya Utama Tbk,Anugerah Kagum Karya Utama Tbk.,Real Estate,Real Estate Services,50,6449460224,322473000960
19,AKPI.JK,PT Argha Karya Prima Industry Tbk,Argha Karya Prima Industry Tbk.,Consumer Cyclical,Packaging & Containers,454,612248000,277960589312
