,city,symbol,longName,sector,industry,previousClose,fullTimeEmployees,marketCap
0,Jakarta,AALI.JK,PT Astra Agro Lestari Tbk,Consumer Defensive,Farm Products,10850,32599,21508411883520
1,Jakarta,ABBA.JK,PT Mahaka Media Tbk,Communication Services,Publishing,73,753,270001766400
2,Jakarta,ABDA.JK,PT Asuransi Bina Dana Arta Tbk,Financial Services,Insurance—Property & Casualty,6950,509,4361168879616
3,Jakarta Selatan,ABMM.JK,PT ABM Investama Tbk,Energy,Thermal Coal,745,5520,2064877486080
4,Jakarta,ACES.JK,PT Ace Hardware Indonesia Tbk,Consumer Cyclical,Specialty Retail,1565,17075,26742093774848
5,Jakarta,ACST.JK,PT Acset Indonusa Tbk,Industrials,Engineering & Construction,358,440,2274506833920
6,Jakarta,ADES.JK,PT Akasha Wira International Tbk,Consumer Defensive,Beverages—Non-Alcoholic,1680,580,1002824925184
7,Jakarta,ADHI.JK,PT Adhi Karya (Persero) Tbk,Industrials,Engineering & Construction,1320,1895,4682517839872
8,Jakarta Selatan,ADMF.JK,PT Adira Dinamika Multi Finance Tbk,Financial Services,Credit Services,8450,13555,8450000027648
9,Jakarta,ADMG.JK,PT. Polychem Indonesia Tbk,Basic Materials,Specialty Chemicals,174,1222,680606498816
10,Jakarta,ADRO.JK,PT Adaro Energy Tbk,Energy,Thermal Coal,1180,9665,37583551725568
11,Jakarta Barat,AGAR.JK,PT Asia Sejahtera Mina Tbk,Consumer Defensive,Farm Products,418,9,415999983616
12,Jakarta Selatan,AGII.JK,PT Aneka Gas Industri Tbk,Basic Materials,Chemicals,1270,2503,3835011530752
13,Jakarta Selatan,AGRO.JK,PT Bank Rakyat Indonesia Agroniaga Tbk,Financial Services,Banks—Regional,1215,507,24864943505408
14,Central Jakarta,AGRS.JK,PT Bank IBK Indonesia Tbk,Financial Services,Banks—Regional,805,437,9020668641280
15,Central Jakarta,AHAP.JK,PT Asuransi Harta Aman Pratama Tbk,Financial Services,Insurance—Property & Casualty,61,171,241079992320
16,Jakarta Selatan,AISA.JK,PT Tiga Pilar Sejahtera Food Tbk,Consumer Defensive,Packaged Foods,302,2488,590816018432
17,Jakarta,AKKU.JK,PT Anugerah Kagum Karya Utama Tbk,Real Estate,Real Estate Services,50,29,322473000960
18,Bogor,AKPI.JK,PT Argha Karya Prima Industry Tbk,Consumer Cyclical,Packaging & Containers,492,1034,302450507776
19,Jakarta,AKRA.JK,PT AKR Corporindo Tbk,Energy,Oil & Gas Refining & Marketing,3400,1939,14684438659072
